# Lab Notebook: autoresearch/jun7
# Date: 2026-06-07 to 06-08
# Best: 0.4548 (3-model: CheMeleon + Chemprop + Ridge, or equivalently 2-model)
# Baseline: 0.4565
#
# Key findings:
# - Dropping sklearn_concat from ensemble helps (simplification win)
# - Ridge osmordred adds no diversity (same MAE with or without)
# - All correction tuning failed (Gaussian, sigmoid, dual, agreement-scaled)
# - All model arch changes failed (CheMeleon v2, chemprop ST, chemprop narrow/deep)
# - All training changes failed (sample weight, stratification, multi-task, epochs)
# - Ridge stacking meta-learner overfits val→test
#
# Format: [Run #] | MAE | Change | Notes
[1]  0.4732 | Re-center Gaussian at 2.8/3.5 | Worse
[2]  0.4718 | 2x sample weight for pEC50<3.5 | Worse
[3]  0.4758 | Gaussian grid search on val | Worse
[4]  0.4693 | Agreement-scaled dual Gaussian | Worse
[5]  0.4566 | Inverse-MAE weighted ensemble | Same
[6]  0.4709 | Chemprop single-task | Worse
[7]  0.4650 | 3-model (chemprop + 2x CheMeleon) | Worse
[8]  0.4667 | CheMeleon v2 arch (3 layers, 0.3 dropout, 2x LR) | Worse
[9]  0.4548 | 2-model (CheMeleon + Chemprop) | **BEST**
[10] 0.4780 | Remove Gaussian correction | Worse (correction essential)
[11] 0.4631 | Tune Gaussian for 2-model | Worse
[12] 0.4758 | 3-model (chemprop + 2x CheMeleon, 120 epochs) | Worse
[13] 0.4766 | Chemprop d_h=300, depth=6 | Worse
[14] CRASH  | Ridge stacking meta-learner | KeyError
[15] 0.4916 | Ridge stacking (fixed) | Much worse (overfits)
[16] 0.4548 | 3-model (CheMeleon + Chemprop + Ridge, drop sklearn) | Same as #9
[17] 0.4691 | Dual Gaussian (2.8 + 3.7) | Worse
[18] 0.4705 | Chemprop 120 epochs, patience=20 | Worse (overfits)
[19] CRASH  | Finer stratification bins | Feature dim mismatch
[20] 0.4692 | CheMeleon multi-task (pEC50 + Emax) | Worse
[21] 0.4674 | Remove sklearn/Ridge training | Worse (broke correction)
